,x,y
0,92,33.338.968.918.390.500
1,6,-56.833.766.988.513.100
2,62,26.607.961.851.467.200
3,85,29.589.755.037.256.500
4,42,12.996.696.871.920.900
5,44,16.742.004.284.329.100
6,21,10.954.727.250.043.400
7,37,9.572.165.083.248.280
8,21,9.169.966.545.426.210
9,83,3.078.321.981.070.050
10,41,15.303.691.068.886.700
11,31,12.149.819.888.990.300
12,55,5.357.429.202.499.990
13,17,15.005.609.027.531.500
14,86,3.215.206.473.454.680
15,64,14.087.584.971.755.500
16,5,1.317.093.286.562.310
17,26,19.354.987.286.003.400
18,73,20.234.184.844.886.000
19,5,6.223.435.250.421.160
20,31,9.316.072.954.717.080
21,76,32.833.554.889.982.100
22,19,9.003.556.681.846.570
23,81,241.213.205.418.446
24,94,33.425.307.600.854.700
25,57,24.387.525.474.053.600
26,46,7.609.792.168.600.420
27,6,-25.334.506.145.481.300
28,88,4.310.020.968.176.990
29,22,1.377.144.712.170.460
30,53,17.416.838.438.543.800
31,24,832.484.473.484.252
32,74,3.267.073.242.392.230
33,93,34.145.881.248.819.100
34,54,11.748.793.187.534.600
35,68,3.290.003.793.368.850
36,78,2.647.668.857.184.900
37,35,22.279.426.709.599.000
38,62,11.589.173.005.330.800
39,94,3.880.107.671.444.040
40,13,-16.112.935.901.099.700
41,48,14.875.233.778.587.800
42,10,15.303.110.723.470.300
43,84,3.720.251.359.514.890
44,66,2.577.208.848.851.000
45,65,1.614.663.028.080.290
46,36,1.505.451.738.534.760
47,14,3.058.898.434.670.780
48,86,32.942.687.105.889.100
49,36,15.856.179.799.969.600
50,17,7.133.037.508.481.140
51,56,1.918.731.273.543.900
52,32,1.884.241.104.587.160
53,27,20.008.126.149.335.400
54,15,-16.154.958.127.699.600
55,54,1.947.928.095.162.420
56,95,3.810.858.494.968.370
57,92,356.774.884.331.324
58,100,3.590.436.831.218.430
59,15,36.160.485.675.851.600
60,95,26.507.964.372.194.400
61,39,9.731.008.842.262.410
62,83,2.831.383.905.146.580
63,46,1.212.138.519.720.080
64,34,1.838.795.369.327.640
65,63,175.106.494.038.219
